,x,Lineage
human3_lib4.final_cell_0889,beta,Endocrine
human3_lib4.final_cell_0890,alpha,Endocrine
human3_lib4.final_cell_0891,alpha,Endocrine
human3_lib4.final_cell_0892,quiescent_stellate,PSC
human3_lib4.final_cell_0893,acinar,Exocrine
human3_lib4.final_cell_0894,ductal,Exocrine
human3_lib4.final_cell_0895,alpha,Endocrine
human3_lib4.final_cell_0896,beta,Endocrine
human3_lib4.final_cell_0897,alpha,Endocrine
human3_lib4.final_cell_0898,beta,Endocrine
human3_lib4.final_cell_0899,alpha,Endocrine
human4_lib1.final_cell_0001,ductal,Exocrine
human4_lib1.final_cell_0002,delta,Endocrine
human4_lib1.final_cell_0003,delta,Endocrine
human4_lib1.final_cell_0004,ductal,Exocrine
human4_lib1.final_cell_0005,ductal,Exocrine
human4_lib1.final_cell_0006,ductal,Exocrine
human4_lib1.final_cell_0007,ductal,Exocrine
human4_lib1.final_cell_0008,alpha,Endocrine
human4_lib1.final_cell_0009,ductal,Exocrine
human4_lib1.final_cell_0010,ductal,Exocrine
human4_lib1.final_cell_0011,alpha,Endocrine
human4_lib1.final_cell_0012,ductal,Exocrine
human4_lib1.final_cell_0013,ductal,Exocrine
human4_lib1.final_cell_0014,ductal,Exocrine
human4_lib1.final_cell_0015,delta,Endocrine
human4_lib1.final_cell_0016,activated_stellate,PSC
human4_lib1.final_cell_0017,beta,Endocrine
human4_lib1.final_cell_0018,ductal,Exocrine
human4_lib1.final_cell_0019,ductal,Exocrine
human4_lib1.final_cell_0020,beta,Endocrine
human4_lib1.final_cell_0021,beta,Endocrine
human4_lib1.final_cell_0022,delta,Endocrine
human4_lib1.final_cell_0023,ductal,Exocrine
human4_lib1.final_cell_0024,delta,Endocrine
human4_lib1.final_cell_0025,alpha,Endocrine
human4_lib1.final_cell_0026,beta,Endocrine
human4_lib1.final_cell_0027,beta,Endocrine
human4_lib1.final_cell_0028,delta,Endocrine
human4_lib1.final_cell_0029,ductal,Exocrine
human4_lib1.final_cell_0030,activated_stellate,PSC
human4_lib1.final_cell_0031,ductal,Exocrine
human4_lib1.final_cell_0032,ductal,Exocrine
human4_lib1.final_cell_0033,ductal,Exocrine
human4_lib1.final_cell_0034,beta,Endocrine
human4_lib1.final_cell_0035,macrophage,Immune
human4_lib1.final_cell_0036,alpha,Endocrine
human4_lib1.final_cell_0037,beta,Endocrine
human4_lib1.final_cell_0038,beta,Endocrine
human4_lib1.final_cell_0039,alpha,Endocrine
human4_lib1.final_cell_0040,ductal,Exocrine
human4_lib1.final_cell_0041,beta,Endocrine
human4_lib1.final_cell_0042,beta,Endocrine
human4_lib1.final_cell_0043,alpha,Endocrine
human4_lib1.final_cell_0044,ductal,Exocrine
human4_lib1.final_cell_0045,ductal,Exocrine
human4_lib1.final_cell_0046,beta,Endocrine
human4_lib1.final_cell_0047,beta,Endocrine
human4_lib1.final_cell_0048,alpha,Endocrine
human4_lib1.final_cell_0049,beta,Endocrine
human4_lib1.final_cell_0050,alpha,Endocrine
human4_lib1.final_cell_0051,beta,Endocrine
human4_lib1.final_cell_0052,ductal,Exocrine
human4_lib1.final_cell_0053,beta,Endocrine
human4_lib1.final_cell_0054,ductal,Exocrine
human4_lib1.final_cell_0055,alpha,Endocrine
human4_lib1.final_cell_0056,beta,Endocrine
human4_lib1.final_cell_0057,delta,Endocrine
human4_lib1.final_cell_0058,beta,Endocrine
human4_lib1.final_cell_0059,beta,Endocrine
human4_lib1.final_cell_0060,ductal,Exocrine
human4_lib1.final_cell_0061,beta,Endocrine
human4_lib1.final_cell_0062,ductal,Exocrine
human4_lib1.final_cell_0063,beta,Endocrine
human4_lib1.final_cell_0064,ductal,Exocrine
human4_lib1.final_cell_0065,ductal,Exocrine
human4_lib1.final_cell_0066,activated_stellate,PSC
human4_lib1.final_cell_0067,alpha,Endocrine
human4_lib1.final_cell_0068,alpha,Endocrine
human4_lib1.final_cell_0069,delta,Endocrine
human4_lib1.final_cell_0070,activated_stellate,PSC
human4_lib1.final_cell_0071,activated_stellate,PSC
human4_lib1.final_cell_0072,beta,Endocrine
human4_lib1.final_cell_0073,activated_stellate,PSC
human4_lib1.final_cell_0074,alpha,Endocrine
human4_lib1.final_cell_0075,beta,Endocrine
human4_lib1.final_cell_0076,ductal,Exocrine
human4_lib1.final_cell_0077,quiescent_stellate,PSC
human4_lib1.final_cell_0078,beta,Endocrine
human4_lib1.final_cell_0079,ductal,Exocrine
human4_lib1.final_cell_0080,beta,Endocrine
human4_lib1.final_cell_0081,beta,Endocrine
human4_lib1.final_cell_0082,activated_stellate,PSC
human4_lib1.final_cell_0083,delta,Endocrine
human4_lib1.final_cell_0084,beta,Endocrine
human4_lib1.final_cell_0085,beta,Endocrine
human4_lib1.final_cell_0086,beta,Endocrine
human4_lib1.final_cell_0087,beta,Endocrine
human4_lib1.final_cell_0088,delta,Endocrine
human4_lib1.final_cell_0089,beta,Endocrine
human4_lib1.final_cell_0090,delta,Endocrine
human4_lib1.final_cell_0091,alpha,Endocrine
human4_lib1.final_cell_0092,ductal,Exocrine
human4_lib1.final_cell_0093,alpha,Endocrine
human4_lib1.final_cell_0094,alpha,Endocrine
human4_lib1.final_cell_0095,alpha,Endocrine
human4_lib1.final_cell_0096,macrophage,Immune
human4_lib1.final_cell_0097,delta,Endocrine
human4_lib1.final_cell_0098,ductal,Exocrine
human4_lib1.final_cell_0099,ductal,Exocrine
human4_lib1.final_cell_0100,beta,Endocrine
human4_lib1.final_cell_0101,ductal,Exocrine
human4_lib1.final_cell_0102,beta,Endocrine
human4_lib1.final_cell_0103,beta,Endocrine
human4_lib1.final_cell_0104,alpha,Endocrine
human4_lib1.final_cell_0105,beta,Endocrine
human4_lib1.final_cell_0106,delta,Endocrine
human4_lib1.final_cell_0107,alpha,Endocrine
human4_lib1.final_cell_0108,alpha,Endocrine
human4_lib1.final_cell_0109,delta,Endocrine
human4_lib1.final_cell_0110,beta,Endocrine
human4_lib1.final_cell_0111,ductal,Exocrine
human4_lib1.final_cell_0112,beta,Endocrine
human4_lib1.final_cell_0113,beta,Endocrine
human4_lib1.final_cell_0114,delta,Endocrine
human4_lib1.final_cell_0115,acinar,Exocrine
human4_lib1.final_cell_0116,ductal,Exocrine
human4_lib1.final_cell_0117,alpha,Endocrine
human4_lib1.final_cell_0118,ductal,Exocrine
human4_lib1.final_cell_0119,ductal,Exocrine
human4_lib1.final_cell_0120,beta,Endocrine
human4_lib1.final_cell_0121,beta,Endocrine
human4_lib1.final_cell_0122,gamma,Endocrine
human4_lib1.final_cell_0123,alpha,Endocrine
human4_lib1.final_cell_0124,beta,Endocrine
human4_lib1.final_cell_0125,beta,Endocrine
human4_lib1.final_cell_0126,beta,Endocrine
human4_lib1.final_cell_0127,ductal,Exocrine
human4_lib1.final_cell_0128,activated_stellate,PSC
human4_lib1.final_cell_0129,delta,Endocrine
human4_lib1.final_cell_0130,beta,Endocrine
human4_lib1.final_cell_0131,ductal,Exocrine
human4_lib1.final_cell_0132,beta,Endocrine
human4_lib1.final_cell_0133,ductal,Exocrine
human4_lib1.final_cell_0134,ductal,Exocrine
human4_lib1.final_cell_0135,beta,Endocrine
human4_lib1.final_cell_0136,alpha,Endocrine
human4_lib1.final_cell_0137,ductal,Exocrine
human4_lib1.final_cell_0138,delta,Endocrine
human4_lib1.final_cell_0139,beta,Endocrine
human4_lib1.final_cell_0140,delta,Endocrine
human4_lib1.final_cell_0141,delta,Endocrine
human4_lib1.final_cell_0142,alpha,Endocrine
human4_lib1.final_cell_0143,alpha,Endocrine
human4_lib1.final_cell_0144,ductal,Exocrine
human4_lib1.final_cell_0145,macrophage,Immune
human4_lib1.final_cell_0146,alpha,Endocrine
human4_lib1.final_cell_0147,ductal,Exocrine
human4_lib1.final_cell_0148,ductal,Exocrine
human4_lib1.final_cell_0149,ductal,Exocrine
human4_lib1.final_cell_0150,beta,Endocrine
human4_lib1.final_cell_0151,beta,Endocrine
human4_lib1.final_cell_0152,alpha,Endocrine
human4_lib1.final_cell_0153,beta,Endocrine
human4_lib1.final_cell_0154,alpha,Endocrine
human4_lib1.final_cell_0155,beta,Endocrine
human4_lib1.final_cell_0156,beta,Endocrine
human4_lib1.final_cell_0157,ductal,Exocrine
human4_lib1.final_cell_0158,ductal,Exocrine
human4_lib1.final_cell_0159,beta,Endocrine
human4_lib1.final_cell_0160,beta,Endocrine
human4_lib1.final_cell_0161,alpha,Endocrine
human4_lib1.final_cell_0162,alpha,Endocrine
human4_lib1.final_cell_0163,beta,Endocrine
human4_lib1.final_cell_0164,beta,Endocrine
human4_lib1.final_cell_0165,alpha,Endocrine
human4_lib1.final_cell_0166,beta,Endocrine
human4_lib1.final_cell_0167,beta,Endocrine
human4_lib1.final_cell_0168,alpha,Endocrine
human4_lib1.final_cell_0169,delta,Endocrine
human4_lib1.final_cell_0170,beta,Endocrine
human4_lib1.final_cell_0171,alpha,Endocrine
human4_lib1.final_cell_0172,beta,Endocrine
human4_lib1.final_cell_0173,beta,Endocrine
human4_lib1.final_cell_0174,beta,Endocrine
human4_lib1.final_cell_0175,beta,Endocrine
human4_lib1.final_cell_0176,delta,Endocrine
human4_lib1.final_cell_0177,beta,Endocrine
human4_lib1.final_cell_0178,ductal,Exocrine
human4_lib1.final_cell_0179,gamma,Endocrine
human4_lib1.final_cell_0180,delta,Endocrine
human4_lib1.final_cell_0181,ductal,Exocrine
human4_lib1.final_cell_0182,alpha,Endocrine
human4_lib1.final_cell_0183,ductal,Exocrine
human4_lib1.final_cell_0184,alpha,Endocrine
human4_lib1.final_cell_0185,alpha,Endocrine
human4_lib1.final_cell_0186,delta,Endocrine
human4_lib1.final_cell_0187,alpha,Endocrine
human4_lib1.final_cell_0188,beta,Endocrine
human4_lib1.final_cell_0189,delta,Endocrine
human4_lib1.final_cell_0190,alpha,Endocrine
human4_lib1.final_cell_0191,alpha,Endocrine
human4_lib1.final_cell_0192,delta,Endocrine
human4_lib1.final_cell_0193,beta,Endocrine
human4_lib1.final_cell_0194,beta,Endocrine
human4_lib1.final_cell_0195,alpha,Endocrine
human4_lib1.final_cell_0196,gamma,Endocrine
human4_lib1.final_cell_0197,beta,Endocrine
human4_lib1.final_cell_0198,beta,Endocrine
human4_lib1.final_cell_0199,gamma,Endocrine
human4_lib1.final_cell_0200,delta,Endocrine
human4_lib1.final_cell_0201,ductal,Exocrine
human4_lib1.final_cell_0202,beta,Endocrine
human4_lib1.final_cell_0203,alpha,Endocrine
human4_lib1.final_cell_0204,delta,Endocrine
human4_lib1.final_cell_0205,beta,Endocrine
human4_lib1.final_cell_0206,beta,Endocrine
human4_lib1.final_cell_0207,alpha,Endocrine
human4_lib1.final_cell_0208,ductal,Exocrine
human4_lib1.final_cell_0209,ductal,Exocrine
human4_lib1.final_cell_0210,beta,Endocrine
human4_lib1.final_cell_0211,alpha,Endocrine
human4_lib1.final_cell_0212,ductal,Exocrine
human4_lib1.final_cell_0213,activated_stellate,PSC
human4_lib1.final_cell_0214,alpha,Endocrine
human4_lib1.final_cell_0215,beta,Endocrine
human4_lib1.final_cell_0216,alpha,Endocrine
human4_lib1.final_cell_0217,ductal,Exocrine
human4_lib1.final_cell_0218,beta,Endocrine
human4_lib1.final_cell_0219,beta,Endocrine
human4_lib1.final_cell_0220,ductal,Exocrine
human4_lib1.final_cell_0221,beta,Endocrine
human4_lib1.final_cell_0222,beta,Endocrine
human4_lib1.final_cell_0223,ductal,Exocrine
human4_lib1.final_cell_0224,beta,Endocrine
human4_lib1.final_cell_0225,beta,Endocrine
human4_lib1.final_cell_0226,beta,Endocrine
human4_lib1.final_cell_0227,beta,Endocrine
human4_lib1.final_cell_0228,alpha,Endocrine
human4_lib1.final_cell_0229,delta,Endocrine
human4_lib1.final_cell_0230,alpha,Endocrine
human4_lib1.final_cell_0231,macrophage,Immune
human4_lib1.final_cell_0232,alpha,Endocrine
human4_lib1.final_cell_0233,alpha,Endocrine
human4_lib1.final_cell_0234,beta,Endocrine
human4_lib1.final_cell_0235,activated_stellate,PSC
human4_lib1.final_cell_0236,beta,Endocrine
human4_lib1.final_cell_0237,beta,Endocrine
human4_lib1.final_cell_0238,ductal,Exocrine
human4_lib1.final_cell_0239,ductal,Exocrine
human4_lib1.final_cell_0240,gamma,Endocrine
human4_lib1.final_cell_0241,beta,Endocrine
human4_lib1.final_cell_0242,ductal,Exocrine
human4_lib1.final_cell_0243,beta,Endocrine
human4_lib1.final_cell_0244,beta,Endocrine
human4_lib1.final_cell_0245,beta,Endocrine
human4_lib1.final_cell_0246,beta,Endocrine
human4_lib1.final_cell_0247,beta,Endocrine
human4_lib1.final_cell_0248,alpha,Endocrine
human4_lib1.final_cell_0249,delta,Endocrine
human4_lib1.final_cell_0250,alpha,Endocrine
human4_lib1.final_cell_0251,ductal,Exocrine
human4_lib1.final_cell_0252,ductal,Exocrine
human4_lib1.final_cell_0253,beta,Endocrine
human4_lib1.final_cell_0254,alpha,Endocrine
human4_lib1.final_cell_0255,alpha,Endocrine
human4_lib1.final_cell_0256,ductal,Exocrine
human4_lib1.final_cell_0257,ductal,Exocrine
human4_lib1.final_cell_0258,alpha,Endocrine
human4_lib1.final_cell_0259,alpha,Endocrine
human4_lib1.final_cell_0260,ductal,Exocrine
human4_lib1.final_cell_0261,beta,Endocrine
human4_lib1.final_cell_0262,beta,Endocrine
human4_lib1.final_cell_0263,alpha,Endocrine
human4_lib1.final_cell_0264,ductal,Exocrine
human4_lib1.final_cell_0265,gamma,Endocrine
human4_lib1.final_cell_0266,beta,Endocrine
human4_lib1.final_cell_0267,delta,Endocrine
human4_lib1.final_cell_0268,gamma,Endocrine
human4_lib1.final_cell_0269,beta,Endocrine
human4_lib1.final_cell_0270,ductal,Exocrine
human4_lib1.final_cell_0271,ductal,Exocrine
human4_lib1.final_cell_0272,beta,Endocrine
human4_lib1.final_cell_0273,ductal,Exocrine
human4_lib1.final_cell_0274,beta,Endocrine
human4_lib1.final_cell_0275,alpha,Endocrine
human4_lib1.final_cell_0276,beta,Endocrine
human4_lib1.final_cell_0277,beta,Endocrine
human4_lib1.final_cell_0278,beta,Endocrine
human4_lib1.final_cell_0279,alpha,Endocrine
human4_lib1.final_cell_0280,beta,Endocrine
human4_lib1.final_cell_0281,alpha,Endocrine
human4_lib1.final_cell_0282,beta,Endocrine
human4_lib1.final_cell_0283,beta,Endocrine
human4_lib1.final_cell_0284,alpha,Endocrine
human4_lib1.final_cell_0285,ductal,Exocrine
human4_lib1.final_cell_0286,alpha,Endocrine
human4_lib1.final_cell_0287,ductal,Exocrine
human4_lib1.final_cell_0288,beta,Endocrine
human4_lib1.final_cell_0289,alpha,Endocrine
human4_lib1.final_cell_0290,beta,Endocrine
human4_lib1.final_cell_0291,beta,Endocrine
human4_lib1.final_cell_0292,beta,Endocrine
human4_lib1.final_cell_0293,beta,Endocrine
human4_lib1.final_cell_0294,alpha,Endocrine
human4_lib1.final_cell_0295,macrophage,Immune
human4_lib1.final_cell_0296,alpha,Endocrine
human4_lib1.final_cell_0297,delta,Endocrine
human4_lib1.final_cell_0298,gamma,Endocrine
human4_lib1.final_cell_0299,beta,Endocrine
human4_lib1.final_cell_0300,beta,Endocrine
human4_lib1.final_cell_0301,delta,Endocrine
human4_lib1.final_cell_0302,ductal,Exocrine
human4_lib1.final_cell_0303,ductal,Exocrine
human4_lib1.final_cell_0304,beta,Endocrine
human4_lib1.final_cell_0305,beta,Endocrine
human4_lib1.final_cell_0306,alpha,Endocrine
human4_lib1.final_cell_0307,beta,Endocrine
human4_lib1.final_cell_0308,alpha,Endocrine
human4_lib1.final_cell_0309,activated_stellate,PSC
human4_lib1.final_cell_0310,alpha,Endocrine
human4_lib1.final_cell_0311,gamma,Endocrine
human4_lib1.final_cell_0312,delta,Endocrine
human4_lib1.final_cell_0313,beta,Endocrine
human4_lib1.final_cell_0314,alpha,Endocrine
human4_lib1.final_cell_0315,alpha,Endocrine
human4_lib1.final_cell_0316,beta,Endocrine
human4_lib1.final_cell_0317,delta,Endocrine
human4_lib1.final_cell_0318,delta,Endocrine
human4_lib1.final_cell_0319,delta,Endocrine
human4_lib1.final_cell_0320,alpha,Endocrine
human4_lib1.final_cell_0321,beta,Endocrine
human4_lib1.final_cell_0322,beta,Endocrine
human4_lib1.final_cell_0323,activated_stellate,PSC
human4_lib1.final_cell_0324,ductal,Exocrine
human4_lib1.final_cell_0325,beta,Endocrine
human4_lib1.final_cell_0326,epsilon,Endocrine
human4_lib1.final_cell_0327,alpha,Endocrine
human4_lib1.final_cell_0328,gamma,Endocrine
human4_lib1.final_cell_0329,gamma,Endocrine
human4_lib1.final_cell_0330,beta,Endocrine
human4_lib1.final_cell_0331,gamma,Endocrine
human4_lib1.final_cell_0332,alpha,Endocrine
human4_lib1.final_cell_0333,alpha,Endocrine
human4_lib1.final_cell_0334,beta,Endocrine
human4_lib1.final_cell_0335,alpha,Endocrine
human4_lib1.final_cell_0336,ductal,Exocrine
human4_lib1.final_cell_0337,delta,Endocrine
human4_lib1.final_cell_0338,alpha,Endocrine
human4_lib1.final_cell_0339,beta,Endocrine
human4_lib1.final_cell_0340,beta,Endocrine
human4_lib1.final_cell_0341,alpha,Endocrine
human4_lib1.final_cell_0342,beta,Endocrine
human4_lib1.final_cell_0343,ductal,Exocrine
human4_lib1.final_cell_0344,alpha,Endocrine
human4_lib1.final_cell_0345,alpha,Endocrine
human4_lib1.final_cell_0346,ductal,Exocrine
human4_lib1.final_cell_0347,delta,Endocrine
human4_lib1.final_cell_0348,beta,Endocrine
human4_lib1.final_cell_0349,macrophage,Immune
human4_lib1.final_cell_0350,alpha,Endocrine
human4_lib1.final_cell_0351,ductal,Exocrine
human4_lib1.final_cell_0352,beta,Endocrine
human4_lib1.final_cell_0353,alpha,Endocrine
human4_lib1.final_cell_0354,activated_stellate,PSC
human4_lib1.final_cell_0355,ductal,Exocrine
human4_lib1.final_cell_0356,beta,Endocrine
human4_lib1.final_cell_0357,alpha,Endocrine
human4_lib1.final_cell_0358,beta,Endocrine
human4_lib1.final_cell_0359,beta,Endocrine
human4_lib1.final_cell_0360,ductal,Exocrine
human4_lib1.final_cell_0361,endothelial,endothelial
human4_lib1.final_cell_0362,ductal,Exocrine
human4_lib1.final_cell_0363,alpha,Endocrine
human4_lib1.final_cell_0364,ductal,Exocrine
human4_lib1.final_cell_0365,gamma,Endocrine
human4_lib1.final_cell_0366,beta,Endocrine
human4_lib1.final_cell_0367,activated_stellate,PSC
human4_lib1.final_cell_0368,beta,Endocrine
human4_lib1.final_cell_0369,alpha,Endocrine
human4_lib1.final_cell_0370,alpha,Endocrine
human4_lib1.final_cell_0371,activated_stellate,PSC
human4_lib1.final_cell_0372,ductal,Exocrine
human4_lib1.final_cell_0373,alpha,Endocrine
human4_lib1.final_cell_0374,beta,Endocrine
human4_lib1.final_cell_0375,beta,Endocrine
human4_lib1.final_cell_0376,alpha,Endocrine
human4_lib1.final_cell_0377,delta,Endocrine
human4_lib1.final_cell_0378,beta,Endocrine
human4_lib1.final_cell_0379,ductal,Exocrine
human4_lib1.final_cell_0380,beta,Endocrine
human4_lib1.final_cell_0381,beta,Endocrine
human4_lib1.final_cell_0382,beta,Endocrine
human4_lib1.final_cell_0383,beta,Endocrine
human4_lib1.final_cell_0384,alpha,Endocrine
human4_lib1.final_cell_0385,beta,Endocrine
human4_lib1.final_cell_0386,alpha,Endocrine
human4_lib1.final_cell_0387,delta,Endocrine
human4_lib1.final_cell_0388,gamma,Endocrine
human4_lib1.final_cell_0389,beta,Endocrine
human4_lib1.final_cell_0390,beta,Endocrine
human4_lib1.final_cell_0391,alpha,Endocrine
human4_lib1.final_cell_0392,alpha,Endocrine
human4_lib1.final_cell_0393,delta,Endocrine
human4_lib1.final_cell_0394,alpha,Endocrine
human4_lib1.final_cell_0395,gamma,Endocrine
human4_lib1.final_cell_0396,beta,Endocrine
human4_lib1.final_cell_0397,beta,Endocrine
human4_lib1.final_cell_0398,beta,Endocrine
human4_lib1.final_cell_0399,ductal,Exocrine
human4_lib1.final_cell_0400,activated_stellate,PSC
human4_lib1.final_cell_0401,beta,Endocrine
human4_lib1.final_cell_0402,ductal,Exocrine
human4_lib1.final_cell_0403,beta,Endocrine
human4_lib1.final_cell_0404,beta,Endocrine
human4_lib1.final_cell_0405,beta,Endocrine
human4_lib1.final_cell_0406,delta,Endocrine
human4_lib1.final_cell_0407,beta,Endocrine
human4_lib1.final_cell_0408,alpha,Endocrine
human4_lib1.final_cell_0409,beta,Endocrine
human4_lib1.final_cell_0410,beta,Endocrine
human4_lib1.final_cell_0411,beta,Endocrine
human4_lib1.final_cell_0412,beta,Endocrine
human4_lib1.final_cell_0413,ductal,Exocrine
human4_lib1.final_cell_0414,beta,Endocrine
human4_lib1.final_cell_0415,beta,Endocrine
human4_lib1.final_cell_0416,alpha,Endocrine
human4_lib1.final_cell_0417,beta,Endocrine
human4_lib1.final_cell_0418,beta,Endocrine
human4_lib1.final_cell_0419,delta,Endocrine
human4_lib1.final_cell_0420,ductal,Exocrine
human4_lib1.final_cell_0421,alpha,Endocrine
human4_lib1.final_cell_0422,ductal,Exocrine
human4_lib1.final_cell_0423,beta,Endocrine
human4_lib1.final_cell_0424,alpha,Endocrine
human4_lib1.final_cell_0425,endothelial,endothelial
human4_lib1.final_cell_0426,beta,Endocrine
human4_lib1.final_cell_0427,beta,Endocrine
human4_lib1.final_cell_0428,alpha,Endocrine
human4_lib1.final_cell_0429,beta,Endocrine
human4_lib1.final_cell_0430,beta,Endocrine
human4_lib1.final_cell_0431,beta,Endocrine
human4_lib1.final_cell_0432,beta,Endocrine
human4_lib1.final_cell_0433,beta,Endocrine
human4_lib1.final_cell_0434,beta,Endocrine
human4_lib1.final_cell_0435,alpha,Endocrine
human4_lib1.final_cell_0436,beta,Endocrine
human4_lib1.final_cell_0437,beta,Endocrine
human4_lib1.final_cell_0438,ductal,Exocrine
human4_lib1.final_cell_0439,ductal,Exocrine
human4_lib1.final_cell_0440,activated_stellate,PSC
human4_lib1.final_cell_0441,alpha,Endocrine
human4_lib1.final_cell_0442,alpha,Endocrine
human4_lib1.final_cell_0443,alpha,Endocrine
human4_lib1.final_cell_0444,beta,Endocrine
human4_lib1.final_cell_0445,beta,Endocrine
human4_lib1.final_cell_0446,ductal,Exocrine
human4_lib1.final_cell_0447,activated_stellate,PSC
human4_lib1.final_cell_0448,alpha,Endocrine
human4_lib1.final_cell_0449,gamma,Endocrine
human4_lib1.final_cell_0450,quiescent_stellate,PSC
human4_lib1.final_cell_0451,beta,Endocrine
human4_lib1.final_cell_0452,ductal,Exocrine
human4_lib1.final_cell_0453,delta,Endocrine
human4_lib1.final_cell_0454,beta,Endocrine
human4_lib1.final_cell_0455,ductal,Exocrine
human4_lib1.final_cell_0456,beta,Endocrine
human4_lib1.final_cell_0457,alpha,Endocrine
human4_lib1.final_cell_0458,gamma,Endocrine
human4_lib1.final_cell_0459,beta,Endocrine
human4_lib1.final_cell_0460,alpha,Endocrine
human4_lib1.final_cell_0461,beta,Endocrine
human4_lib1.final_cell_0462,ductal,Exocrine
human4_lib1.final_cell_0463,beta,Endocrine
human4_lib1.final_cell_0464,gamma,Endocrine
human4_lib1.final_cell_0465,beta,Endocrine
human4_lib1.final_cell_0466,ductal,Exocrine
human4_lib1.final_cell_0467,beta,Endocrine
human4_lib1.final_cell_0468,ductal,Exocrine
human4_lib1.final_cell_0469,ductal,Exocrine
human4_lib1.final_cell_0470,gamma,Endocrine
human4_lib1.final_cell_0471,activated_stellate,PSC
human4_lib1.final_cell_0472,alpha,Endocrine
human4_lib1.final_cell_0473,alpha,Endocrine
human4_lib1.final_cell_0474,beta,Endocrine
human4_lib1.final_cell_0475,beta,Endocrine
human4_lib1.final_cell_0476,beta,Endocrine
human4_lib1.final_cell_0477,alpha,Endocrine
human4_lib1.final_cell_0478,beta,Endocrine
human4_lib1.final_cell_0479,alpha,Endocrine
human4_lib1.final_cell_0480,alpha,Endocrine
human4_lib1.final_cell_0481,alpha,Endocrine
human4_lib1.final_cell_0482,beta,Endocrine
human4_lib1.final_cell_0483,alpha,Endocrine
human4_lib1.final_cell_0484,gamma,Endocrine
human4_lib1.final_cell_0485,endothelial,endothelial
human4_lib1.final_cell_0486,beta,Endocrine
human4_lib1.final_cell_0487,alpha,Endocrine
human4_lib1.final_cell_0488,gamma,Endocrine
human4_lib1.final_cell_0489,beta,Endocrine
human4_lib1.final_cell_0490,beta,Endocrine
human4_lib1.final_cell_0491,beta,Endocrine
human4_lib1.final_cell_0492,ductal,Exocrine
human4_lib1.final_cell_0493,activated_stellate,PSC
human4_lib1.final_cell_0494,delta,Endocrine
human4_lib1.final_cell_0495,activated_stellate,PSC
human4_lib1.final_cell_0496,ductal,Exocrine
human4_lib1.final_cell_0497,beta,Endocrine
human4_lib1.final_cell_0498,alpha,Endocrine
human4_lib1.final_cell_0499,beta,Endocrine
human4_lib1.final_cell_0500,beta,Endocrine
human4_lib1.final_cell_0501,beta,Endocrine
human4_lib1.final_cell_0502,beta,Endocrine
human4_lib1.final_cell_0503,beta,Endocrine
human4_lib1.final_cell_0504,beta,Endocrine
human4_lib1.final_cell_0505,gamma,Endocrine
human4_lib1.final_cell_0506,activated_stellate,PSC
human4_lib1.final_cell_0507,ductal,Exocrine
human4_lib1.final_cell_0508,alpha,Endocrine
human4_lib1.final_cell_0509,beta,Endocrine
human4_lib1.final_cell_0510,beta,Endocrine
human4_lib1.final_cell_0511,alpha,Endocrine
human4_lib1.final_cell_0512,beta,Endocrine
human4_lib1.final_cell_0513,beta,Endocrine
human4_lib1.final_cell_0514,beta,Endocrine
human4_lib1.final_cell_0515,beta,Endocrine
human4_lib1.final_cell_0516,beta,Endocrine
human4_lib1.final_cell_0517,gamma,Endocrine
human4_lib1.final_cell_0518,alpha,Endocrine
human4_lib1.final_cell_0519,alpha,Endocrine
human4_lib1.final_cell_0520,ductal,Exocrine
human4_lib1.final_cell_0521,beta,Endocrine
human4_lib1.final_cell_0522,beta,Endocrine
human4_lib1.final_cell_0523,beta,Endocrine
human4_lib1.final_cell_0524,beta,Endocrine
human4_lib1.final_cell_0525,beta,Endocrine
human4_lib1.final_cell_0526,ductal,Exocrine
human4_lib1.final_cell_0527,beta,Endocrine
human4_lib1.final_cell_0528,ductal,Exocrine
human4_lib1.final_cell_0529,beta,Endocrine
human4_lib1.final_cell_0530,delta,Endocrine
human4_lib1.final_cell_0531,beta,Endocrine
human4_lib1.final_cell_0532,beta,Endocrine
human4_lib1.final_cell_0533,delta,Endocrine
human4_lib1.final_cell_0534,ductal,Exocrine
human4_lib1.final_cell_0535,beta,Endocrine
human4_lib1.final_cell_0536,alpha,Endocrine
human4_lib1.final_cell_0537,beta,Endocrine
human4_lib1.final_cell_0538,beta,Endocrine
human4_lib1.final_cell_0539,beta,Endocrine
human4_lib1.final_cell_0540,ductal,Exocrine
human4_lib1.final_cell_0541,alpha,Endocrine
human4_lib1.final_cell_0542,beta,Endocrine
human4_lib1.final_cell_0543,beta,Endocrine
human4_lib1.final_cell_0544,ductal,Exocrine
human4_lib1.final_cell_0545,alpha,Endocrine
human4_lib1.final_cell_0546,beta,Endocrine
human4_lib1.final_cell_0547,alpha,Endocrine
human4_lib1.final_cell_0548,activated_stellate,PSC
human4_lib1.final_cell_0549,activated_stellate,PSC
human4_lib1.final_cell_0550,delta,Endocrine
human4_lib1.final_cell_0551,beta,Endocrine
human4_lib1.final_cell_0552,beta,Endocrine
human4_lib1.final_cell_0553,beta,Endocrine
human4_lib1.final_cell_0554,ductal,Exocrine
human4_lib1.final_cell_0555,beta,Endocrine
human4_lib1.final_cell_0556,ductal,Exocrine
human4_lib1.final_cell_0557,beta,Endocrine
human4_lib1.final_cell_0558,alpha,Endocrine
